word,pos_tag
Their,PRP$
song,NN
was,VBD
playing,VBG
in,IN
almost,RB
every,DT
store,NN
.,.
Every,NN
professor,NN
had,VBD
to,TO
take,VB
attendance,NN
.,.
I,PRP
've,VBP
read,VBN
every,DT
book,NN
on,IN
the,DT
shelf,NN
.,.
Every,NNP
house,NN
looked,VBD
beautiful,JJ
.,.
Every,NNP
girl,NN
loved,VBD
the,DT
new,JJ
",",","
British,JJ
rock,NN
band,NN
.,.
Every,DT
man,NN
in,IN
the,DT
room,NN
agreed,VBD
to,TO
help,VB
rebuild,VB
the,DT
school,NN
.,.
Every,DT
car,NN
goes,VBZ
through,IN
many,JJ
tests,NNS
and,CC
examinations,NNS
before,IN
being,VBG
sold,VBN
.,.
Every,DT
computer,NN
was,VBD
going,VBG
to,TO
be,VB
replaced,VBN
with,IN
Apple,NNP
computers,NNS
.,.
He,PRP
has,VBZ
been,VBN
to,TO
almost,RB
every,DT
country,NN
in,IN
the,DT
world,NN
.,.
The,DT
room,NN
was,VBD
so,RB
quiet,JJ
I,PRP
could,MD
hear,VB
every,DT
sound,NN
clearly,RB
.,.
Every,NNP
bee,NN
was,VBD
working,VBG
hard,JJ
to,TO
make,VB
honey,NN
.,.
She,PRP
is,VBZ
such,JJ
a,DT
good,JJ
speaker,NN
I,PRP
heard,VBP
every,DT
single,JJ
word,NN
.,.
Every,NN
song,NN
the,DT
seniors,NNS
sang,VBP
at,IN
their,PRP$
graduation,NN
was,VBD
beautiful,JJ
.,.
There,EX
were,VBD
beautiful,JJ
flowers,NNS
in,IN
every,DT
room,NN
of,IN
the,DT
hospital,NN
.,.
It,PRP
seemed,VBD
like,IN
when,WRB
I,PRP
visited,VBD
Japan,NNP
",",","
every,DT
girl,NN
had,VBD
dyed,VBN
hair,NN
.,.
Every,DT
good,JJ
cook,NN
knows,VBZ
how,WRB
to,TO
combine,VB
flavours,NNS
to,TO
create,VB
delicious,JJ
meals,NNS
.,.
Every,DT
store,NN
in,IN
Japan,NNP
seemed,VBD
to,TO
have,VB
wonderful,JJ
lighting,NN
and,CC
decorations,NNS
.,.
Every,DT
child,NN
drank,JJ
lots,NNS
of,IN
water,NN
after,IN
they,PRP
came,VBD
back,RB
inside,IN
from,IN
playing,VBG
outside,JJ
.,.
The,DT
news,NN
about,IN
the,DT
train,NN
crash,NN
was,VBD
so,RB
big,JJ
and,CC
devastating,JJ
",",","
it,PRP
was,VBD
in,IN
every,DT
newspaper,NN
.,.
Every,DT
celebrity,NN
agrees,VBZ
that,IN
paparazzi,NN
can,MD
be,VB
extremely,RB
annoying,VBG
and,CC
persistent,JJ
.,.
Every,DT
teacher,NN
should,MD
be,VB
determined,VBN
to,TO
help,VB
their,PRP$
students,NNS
improve,VB
and,CC
see,VB
them,PRP
grow,VB
.,.
Every,DT
neighbor,NN
cooperated,VBN
in,IN
order,NN
to,TO
catch,VB
the,DT
culprit,NN
who,WP
kept,VBD
taking,VBG
everyone,NN
's,POS
flowers,NNS
.,.
Every,DT
politician,NN
must,MD
face,VB
harsh,JJ
criticism,NN
and,CC
opposition,NN
from,IN
many,JJ
people,NNS
.,.
There,EX
is,VBZ
no,DT
way,NN
he,PRP
finished,VBD
every,DT
assignment,NN
the,DT
professor,NN
gave,VBD
us,PRP
in,IN
that,DT
amount,NN
of,IN
time,NN
.,.
All,DT
of,IN
them,PRP
went,VBD
home,NN
.,.
All,DT
of,IN
you,PRP
should,MD
leave,VB
.,.
All,DT
of,IN
them,PRP
are,VBP
here,RB
.,.
You,PRP
must,MD
eat,VB
all,DT
of,IN
it,PRP
.,.
I,PRP
ca,MD
n't,RB
finish,VB
all,DT
of,IN
this,DT
homework,NN
.,.
I,PRP
watched,VBD
all,DT
of,IN
it,PRP
.,.
All,DT
of,IN
these,DT
stories,NNS
are,VBP
false,JJ
.,.
I,PRP
ca,MD
n't,RB
read,VB
all,DT
of,IN
these,DT
books,NNS
.,.
She,PRP
listened,VBD
to,TO
all,DT
of,IN
the,DT
songs,NNS
.,.
She,PRP
wanted,VBD
all,DT
of,IN
it,PRP
.,.
I,PRP
could,MD
n't,RB
answer,VB
all,DT
of,IN
the,DT
questions,NNS
.,.
I,PRP
could,MD
n't,RB
finish,VB
watching,VBG
all,DT
of,IN
the,DT
movies,NNS
.,.
She,PRP
observed,VBD
all,DT
of,IN
the,DT
people,NNS
crossing,VBG
the,DT
Shibuya,NNP
cross,NN
walk,NN
.,.
I,PRP
knew,VBD
all,DT
of,IN
them,PRP
very,RB
well,RB
since,IN
middle,JJ
school,NN
.,.
All,DT
of,IN
the,DT
women,NNS
in,IN
the,DT
room,NN
were,VBD
dressed,VBN
nicely,RB
.,.
John,NNP
was,VBD
careless,JJ
last,JJ
night,NN
and,CC
lost,VBD
all,DT
of,IN
his,PRP$
money,NN
.,.
Not,RB
all,DT
of,IN
them,PRP
wanted,VBD
to,TO
keep,VB
playing,NN
.,.
All,DT
of,IN
these,DT
are,VBP
unfinished,VBN
so,IN
you,PRP
can,MD
not,RB
go,VB
home,NN
.,.
All,DT
of,IN
the,DT
children,NNS
ate,VBP
ice,NN
cream,NN
under,IN
the,DT
hot,JJ
sun,NN
.,.
There,EX
is,VBZ
no,DT
way,NN
I,PRP
can,MD
take,VB
all,DT
of,IN
these,DT
home,NN
.,.
All,DT
of,IN
these,DT
must,MD
either,RB
be,VB
sold,VBN
or,CC
thrown,VBN
away,RB
because,IN
we,PRP
do,VBP
n't,RB
have,VB
space,NN
in,IN
our,PRP$
new,JJ
house,NN
.,.
All,DT
of,IN
the,DT
students,NNS
were,VBD
determined,VBN
to,TO
finish,VB
finals,NNS
and,CC
go,VB
home,NN
for,IN
summer,NN
break,NN
.,.
All,DT
of,IN
the,DT
cleaners,NNS
finished,VBD
cleaning,VBG
the,DT
hospital,NN
in,IN
a,DT
couple,NN
hours,NNS
.,.
The,DT
penguins,NNS
were,VBD
very,RB
adorable,JJ
and,CC
all,DT
of,IN
them,PRP
were,VBD
swimming,VBG
playfully,RB
.,.
White,NNP
tigers,NNS
are,VBP
very,RB
rare,JJ
and,CC
if,IN
people,NNS
do,VBP
n't,RB
stop,VB
hunting,VBG
them,PRP
",",","
all,DT
of,IN
them,PRP
would,MD
die,VB
.,.
It,PRP
was,VBD
past,JJ
9,CD
o'clock,NN
at,IN
night,NN
so,RB
all,DT
of,IN
the,DT
restaurants,NNS
were,VBD
closed,VBN
.,.
All,DT
of,IN
the,DT
professors,NNS
got,VBD
together,RB
at,IN
the,DT
end,NN
of,IN
the,DT
semester,NN
to,TO
discuss,VB
how,WRB
their,PRP$
classes,NNS
went,VBD
and,CC
what,WP
they,PRP
could,MD
improve,VB
on,IN
.,.
My,PRP$
peers,NNS
were,VBD
listening,VBG
to,TO
me,PRP
seriously,RB
as,IN
I,PRP
presented,VBD
",",","
and,CC
all,DT
of,IN
them,PRP
were,VBD
vigorously,RB
taking,VBG
notes,NNS
.,.
All,DT
of,IN
the,DT
children,NNS
laughed,VBD
as,IN
they,PRP
watched,VBD
Mickey,NNP
Mouse,NNP
chase,NN
Donald,NNP
Duck,NNP
around,IN
the,DT
amusement,NN
park,NN
.,.
All,DT
of,IN
them,PRP
came,VBD
back,RB
from,IN
France,NNP
with,IN
many,JJ
gifts,NNS
for,IN
their,PRP$
friends,NNS
and,CC
family,NN
.,.
I,PRP
bought,VBD
both,DT
of,IN
them,PRP
.,.
Both,DT
of,IN
them,PRP
came,VBD
on,IN
time,NN
.,.
They,PRP
chased,VBD
after,IN
both,DT
of,IN
us,PRP
.,.
Both,DT
of,IN
them,PRP
looked,VBD
like,IN
their,PRP$
mother,NN
.,.
Both,DT
of,IN
them,PRP
finished,VBD
their,PRP$
homework,NN
.,.
He,PRP
spoke,VBD
to,TO
both,DT
of,IN
us,PRP
.,.
I,PRP
want,VBP
to,TO
talk,VB
to,TO
both,DT
of,IN
you,PRP
.,.
Both,DT
of,IN
their,PRP$
families,NNS
had,VBD
dinner,NN
together,RB
.,.
Both,DT
of,IN
you,PRP
are,VBP
late,JJ
.,.
He,PRP
gave,VBD
a,DT
gift,NN
to,TO
both,DT
of,IN
us,PRP
.,.
Both,DT
of,IN
them,PRP
wanted,VBD
to,TO
watch,VB
the,DT
TV,NN
.,.
He,PRP
glared,VBD
at,IN
both,DT
of,IN
us,PRP
and,CC
then,RB
slammed,VBD
the,DT
door,NN
.,.
I,PRP
saw,VBD
both,DT
of,IN
the,DT
cars,NNS
ignore,VBP
the,DT
stop,NN
light,NN
.,.
Both,DT
of,IN
you,PRP
must,MD
fill,VB
out,RP
the,DT
survey,NN
.,.
Both,DT
of,IN
you,PRP
ca,MD
n't,RB
go,VB
out,RP
until,IN
you,PRP
finish,VBP
your,PRP$
homework,NN
.,.
Both,DT
of,IN
my,PRP$
grandparents,NNS
passed,VBN
away,RB
before,IN
I,PRP
was,VBD
born,VBN
.,.
Both,DT
of,IN
the,DT
singers,NNS
were,VBD
competing,VBG
against,IN
each,DT
other,JJ
.,.
Both,DT
of,IN
them,PRP
were,VBD
determined,VBN
to,TO
learn,VB
a,DT
new,JJ
language,NN
.,.
I,PRP
trust,VBP
you,PRP
to,TO
keep,VB
both,DT
of,IN
us,PRP
out,IN
of,IN
danger,NN
.,.
Both,DT
of,IN
them,PRP
watched,VBD
the,DT
movie,NN
in,IN
amusement,NN
.,.
I,PRP
'll,MD
keep,VB
both,DT
of,IN
these,DT
in,IN
my,PRP$
room,NN
while,IN
you,PRP
're,VBP
out,RP
tonight,NN
.,.
Lennie,NNP
and,CC
Adam,NNP
loved,VBD
playing,VBG
baseball,NN
",",","
so,IN
both,DT
of,IN
them,PRP
tried,VBD
out,RP
for,IN
the,DT
team,NN
.,.
Both,DT
of,IN
us,PRP
were,VBD
required,VBN
to,TO
write,VB
a,DT
thorough,JJ
report,NN
on,IN
our,PRP$
experimental,JJ
procedure,NN
.,.
Both,DT
of,IN
my,PRP$
friends,NNS
will,MD
be,VB
studying,VBG
abroad,RB
next,JJ
year,NN
so,RB
I,PRP
am,VBP
a,DT
little,JJ
sad,JJ
.,.
I,PRP
remember,VBP
Aunt,NNP
Jess,NNP
taking,VBG
both,DT
of,IN
us,PRP
to,TO
the,DT
movies,NNS
every,DT
Saturday,NNP
.,.
It,PRP
was,VBD
wonderful,JJ
to,TO
have,VB
both,DT
of,IN
you,PRP
join,VBP
us,PRP
for,IN
dinner,NN
tonight,NN
.,.
Both,DT
of,IN
my,PRP$
sisters,NNS
go,VBP
to,TO
college,NN
in,IN
the,DT
States,NNPS
so,IN
my,PRP$
parents,NNS
feel,VBP
like,IN
they,PRP
only,RB
have,VBP
one,CD
daughter,NN
.,.
We,PRP
were,VBD
notified,VBN
five,CD
minutes,NNS
ago,IN
that,DT
both,DT
of,IN
them,PRP
are,VBP
safe,JJ
and,CC
already,RB
at,IN
the,DT
hospital,NN
.,.
Both,DT
of,IN
their,PRP$
families,NNS
were,VBD
very,RB
engaged,VBN
in,IN
volunteer,NN
work,NN
",",","
and,CC
often,RB
organized,VBN
charity,NN
events,NNS
.,.
After,IN
Tom,NNP
and,CC
John,NNP
spent,VBD
days,NNS
persuading,VBG
the,DT
president,NN
of,IN
the,DT
Japanese,JJ
student,NN
organization,NN
at,IN
NYU,NNP
",",","
he,PRP
finally,RB
agreed,VBD
with,IN
both,DT
of,IN
them,PRP
.,.
Either,CC
Daniel,NNP
or,CC
Liam,NNP
will,MD
take,VB
you,PRP
.,.
Either,CC
of,IN
these,DT
will,MD
be,VB
fine,JJ
.,.
Have,VBP
either,DT
of,IN
you,PRP
seen,VBN
Karen,NNP
?,.
You,PRP
ca,MD
n't,RB
speak,VB
to,TO
either,DT
of,IN
them,PRP
.,.
I,PRP
do,VBP
n't,RB
know,VB
either,RB
Emma,NNP
or,CC
Amanda,NNP
.,.
Have,VBP
you,PRP
been,VBN
to,TO
either,DT
France,NNP
or,CC
Italy,NNP
?,.
I,PRP
have,VBP
n't,RB
seen,VBN
either,DT
of,IN
them,PRP
recently,RB
.,.
Have,VBP
either,DT
of,IN
you,PRP
guys,VBP
finished,VBN
the,DT
homework,NN
?,.
I,PRP
do,VBP
n't,RB
agree,VB
with,IN
either,DT
of,IN
them,PRP
.,.
Either,CC
they,PRP
leave,VBP
or,CC
I,PRP
will,MD
.,.
Do,VB
you,PRP
think,VB
we,PRP
can,MD
ask,VB
either,DT
of,IN
them,PRP
for,IN
advice,NN
?,.
I,PRP
do,VBP
n't,RB
think,VB
either,DT
case,NN
will,MD
fit,VB
that,IN
smartphone,NN
.,.
I,PRP
do,VBP
n't,RB
believe,VB
what,WP
either,DT
of,IN
the,DT
candidates,NNS
are,VBP
saying,VBG
.,.
No,DT
matter,NN
what,WP
they,PRP
say,VBP
",",","
I,PRP
do,VBP
n't,RB
trust,VB
either,DT
of,IN
them,PRP
.,.
I,PRP
do,VBP
n't,RB
like,IN
either,DT
William,NNP
or,CC
George,NNP
because,IN
they,PRP
are,VBP
aggressive,JJ
.,.
Do,VB
you,PRP
truly,VB
believe,VB
what,WP
either,DT
of,IN
them,PRP
are,VBP
saying,VBG
?,.
He,PRP
obviously,RB
did,VBD
not,RB
understand,VB
either,RB
of,IN
the,DT
assignments,NNS
.,.
I,PRP
refused,VBD
to,TO
take,VB
care,NN
of,IN
either,DT
Scott,NNP
or,CC
Henry,NNP
.,.
Either,CC
finish,JJ
now,RB
or,CC
do,VB
it,PRP
tonight,VB
instead,RB
of,IN
going,VBG
to,TO
the,DT
movie,NN
.,.
By,IN
midnight,NN
",",","
you,PRP
must,MD
either,RB
be,VB
in,IN
bed,NN
or,CC
have,VBP
a,DT
very,RB
good,JJ
reason,NN
not,RB
to,TO
be,VB
.,.
I,PRP
do,VBP
n't,RB
think,VB
either,DT
of,IN
us,PRP
will,MD
make,VB
it,PRP
to,TO
the,DT
final,JJ
round,NN
.,.
He,PRP
is,VBZ
n't,RB
on,IN
either,CC
Joanne,NNP
or,CC
Lia,NNP
's,POS
side,NN
because,IN
he,PRP
wants,VBZ
to,TO
stay,VB
neutral,JJ
.,.
Either,CC
turn,VB
off,RP
the,DT
air,NN
conditioner,NN
or,CC
close,VB
the,DT
windows,NNS
",",","
but,CC
do,VBP
n't,RB
run,VB
it,PRP
with,IN
the,DT
windows,NNS
open,VBP
.,.
Either,CC
Mallory,NNP
or,CC
